Shortest Path from Minneapolis (Mpl) to Atlanta (Atl)

PATH                 DIST     HEUR     F-VALUE 

Mpl                  0        0        0       

Mpl-Den              697      0        697     
Mpl-Chi              354      581      935     
Mpl-Bos              1127     0        1127    
Mpl-Sea              1415     0        1415    

Mpl-Chi              354      581      935     
Mpl-Bos              1127     0        1127    
Mpl-Sea              1415     0        1415    
Mpl-Den-LA           1509     0        1509    
Mpl-Den-SF           1654     0        1654    
Mpl-Den-Dal          1364     725      2089    

Mpl-Chi-Atl          935      0        935     
Mpl-Chi-NY           1072     0        1072    
Mpl-Bos              1127     0        1127    
Mpl-Sea              1415     0        1415    
Mpl-Chi-Was          955      538      1493    
Mpl-Den-LA           1509     0        1509    
Mpl-Den-SF           1654     0        1654    
Mpl-Chi-Dal          1157     725      1882    
Mpl-Den-Dal          1364     725      2089    

Mpl-Chi-Atl          935     
