Shortest Path from Austin (a) to Fairmont (F)
PATH                 DIST     HEUR     F-VALUE 


PATH                 DIST     HEUR     F-VALUE 
a                    0        70       70      

a-F                  70       0        70      
a-A                  15       56       71      
a-O                  31       66       97      
a-M                  64       48       112     
a-W                  55       64       119     
a-r                  35       90       125     
a-N                  110      33       143     
a-t                  88       59       147     
a-n                  60       93       153     
a-f                  61       94       155     
a-j                  122      46       168     
a-K                  83       93       176     
a-t                  117      60       177     
a-z                  83       113      196     
a-p                  76       122      198     
a-R                  84       133      217     
a-L                  87       134      221     
a-h                  121      107      228     
a-u                  146      87       233     
a-q                  103      151      254     
a-Q                  155      99       254     
a-P                  153      116      269     
a-k                  123      160      283     
a-w                  172      113      285     
a-m                  171      119      290     
a-y                  162      150      312     
a-v                  196      141      337     
a-x                  199      156      355     
a-b                  189      204      393     
a-X                  226      197      423     
a-Z                  208      218      426     
a-C                  214      213      427     
a-d                  205      236      441     
a-U                  263      228      491     
a-g                  255      267      522     
a-o                  277      256      533     
a-J                  308      252      560     
a-D                  301      268      569     
a-E                  298      316      614     
a-V                  280      345      625     
a-H                  311      316      627     
a-e                  336      292      628     
a-G                  323      330      653     
a-I                  344      365      709     
a-c                  370      340      710     
a-T                  351      388      739     
a-B                  429      317      746     
a-Y                  439      439      878     

a-F                  70      
